[2025-08-20T09:33:55.130+0530][gc,phases   ] GC(3)   Pre Evacuate Collection Set: 0.2ms
[2025-08-20T09:33:55.130+0530][gc,phases   ] GC(3)   Merge Heap Roots: 0.1ms
[2025-08-20T09:33:55.130+0530][gc,phases   ] GC(3)   Evacuate Collection Set: 22.5ms
[2025-08-20T09:33:55.130+0530][gc,phases   ] GC(3)   Post Evacuate Collection Set: 1.2ms
[2025-08-20T09:33:55.130+0530][gc,phases   ] GC(3)   Other: 0.1ms
[2025-08-20T09:33:55.130+0530][gc,heap     ] GC(3) Eden regions: 7->0(7)
[2025-08-20T09:33:55.130+0530][gc,heap     ] GC(3) Survivor regions: 2->2(2)
[2025-08-20T09:33:55.130+0530][gc,heap     ] GC(3) Old regions: 6->8
[2025-08-20T09:33:55.130+0530][gc,heap     ] GC(3) Humongous regions: 12->11
[2025-08-20T09:33:55.130+0530][gc,metaspace] GC(3) Metaspace: 63930K(64512K)->63930K(64512K) NonClass: 56662K(56960K)->56662K(56960K) Class: 7268K(7552K)->7268K(7552K)
[2025-08-20T09:33:55.131+0530][gc          ] GC(3) Pause Young (Normal) (G1 Evacuation Pause) 843M->671M(6144M) 25.205ms
[2025-08-20T09:33:55.131+0530][gc,cpu      ] GC(3) User=0.16s Sys=0.00s Real=0.03s
[2025-08-20T09:33:55.789+0530][gc,start    ] GC(4) Pause Young (Normal) (GCLocker Initiated GC)
[2025-08-20T09:33:55.789+0530][gc,task     ] GC(4) Using 10 workers of 10 for evacuation
[2025-08-20T09:33:55.799+0530][gc,phases   ] GC(4)   Pre Evacuate Collection Set: 0.2ms
[2025-08-20T09:33:55.799+0530][gc,phases   ] GC(4)   Merge Heap Roots: 0.1ms
[2025-08-20T09:33:55.799+0530][gc,phases   ] GC(4)   Evacuate Collection Set: 7.9ms
[2025-08-20T09:33:55.799+0530][gc,phases   ] GC(4)   Post Evacuate Collection Set: 1.0ms
[2025-08-20T09:33:55.799+0530][gc,phases   ] GC(4)   Other: 0.1ms
[2025-08-20T09:33:55.799+0530][gc,heap     ] GC(4) Eden regions: 7->0(8)
[2025-08-20T09:33:55.799+0530][gc,heap     ] GC(4) Survivor regions: 2->1(2)
[2025-08-20T09:33:55.799+0530][gc,heap     ] GC(4) Old regions: 8->10
[2025-08-20T09:33:55.799+0530][gc,heap     ] GC(4) Humongous regions: 32->25
[2025-08-20T09:33:55.799+0530][gc,metaspace] GC(4) Metaspace: 66492K(67200K)->66492K(67200K) NonClass: 58889K(59264K)->58889K(59264K) Class: 7602K(7936K)->7602K(7936K)
[2025-08-20T09:33:55.799+0530][gc          ] GC(4) Pause Young (Normal) (GCLocker Initiated GC) 1565M->1129M(6144M) 9.790ms
[2025-08-20T09:33:55.799+0530][gc,cpu      ] GC(4) User=0.00s Sys=0.00s Real=0.01s
[2025-08-20T09:33:56.815+0530][gc,start    ] GC(5) Pause Young (Normal) (G1 Evacuation Pause)
[2025-08-20T09:33:56.816+0530][gc,task     ] GC(5) Using 10 workers of 10 for evacuation
[2025-08-20T09:33:56.822+0530][gc,phases   ] GC(5)   Pre Evacuate Collection Set: 0.3ms
[2025-08-20T09:33:56.822+0530][gc,phases   ] GC(5)   Merge Heap Roots: 0.1ms
[2025-08-20T09:33:56.822+0530][gc,phases   ] GC(5)   Evacuate Collection Set: 4.8ms
[2025-08-20T09:33:56.822+0530][gc,phases   ] GC(5)   Post Evacuate Collection Set: 0.8ms
[2025-08-20T09:33:56.822+0530][gc,phases   ] GC(5)   Other: 0.1ms
[2025-08-20T09:33:56.822+0530][gc,heap     ] GC(5) Eden regions: 8->0(7)
